	caption
23550	one girl is hugging another girl in front of an american flag 
23551	a young boy is running through a large puddle outside 
23552	a golden dog look alert a he stand in snow 
23553	a man is sitting on the end of hit boat overlooking the water 
23554	a little black dog chase another little black dog through thick snow 
23555	a man and dog are splashing in a swimming pool 
23556	athletic man spiking volleyball 
23557	two young girl cheerleader wearing a khaki shirt with a black tie cheering 
23558	a woman eats on a bench while a brown and white leashed dog stand next to her 
23559	there is a hockey player in the middle of a game 
23560	a woman in a bikini sits in shallow water with a man sitting next to her 
23561	man with a yellow coat and a cardboard sign 
23562	boy in orange shirt and camouflage pant jumping up
23563	a biker leap off a halfpipe littered with graffiti a onlooker watch 
23564	people stand outside of the rite aid pharmacy on broadway 
23565	a young man bicycle towards the camera and away from beautiful mountain on a clear day 
23566	two girl enjoy themselves whilst wind blow through their hair 
23567	a man on the sea 
23568	two girl in denim short stand in a puddle of water 
23569	two dog running on the sand 
23570	two people are in a pond pulling a life raft 
23571	two young boy are looking at the camera  one smiling  the other sticking his tongue out 
23572	cyclist compete in a race that take them on a dirt mountain road 
23573	a woman and a young boy sit on a police motorcycle and smile for the camera 
23574	a woman wearing purple look away while a woman in orange grin at the camera 
23575	a hockey play shooting for a goal in a professional game 
23576	a woman with a helmet and a backpack walk next to her bike 
23577	cheerleader pose for the camera 
23578	a group of people dancing on a beach in front of a truck
23579	a dog jump of a frisbee with a woman looking on 
23580	a person jumping down a rope on a cliff 
23581	two brown dog are wrestling with each other on some wasteland 
23582	a girl with a purple and white helmet is riding on a scooter 
23583	a man performing a bicycle trick inside in midair 
23584	a man is standing with his arm spread wide and an open vest exposing his chest 
23585	a group of people are burning thing 
23586	the man is skiing down the steep  snowy white mountain with cloud in the background 
23587	a man with a red spain shirt and a woman with purple streak in her hair 
23588	a man repels down a cliff over water 
23589	a man and a woman posing for a picture 
23590	a scantily clad girl  in a helmet  walk away from the camera  down a busy sidewalk 
23591	girl wearing blue shirt and black short play trumped outside 
23592	a woman in a head covering is looking away from the camera 
23593	a man on a bike in midair
23594	the motorcycle is being ridden on a track whilst pulling a wheelie 
23595	four people are sitting at the top of a hill 
23596	a smiling woman watch a four dog run on a hill 
23597	a young boy waving a streaming kite
23598	a man wearing a hat lean against a bench and hold a cup 
23599	the dog play with the large log 
23600	a woman in a winter coat riding a bike down a city street 
23601	little girl laughing and touching a boy s face a they lean toward each other 
23602	the big black dog is jumping up in the air to catch a ball 
23603	the group of hiker is resting in front of a mountain 
23604	the surfer lost his board and is about to fall into the sea 
23605	a young girl run down a hallway with wooden floor 
23606	four people stand with their dog in a field 
23607	two kid are on a fair ride and are slipping to one side of the car 
23608	there is a man and a woman sitting on folding chair  outside next to a truck 
23609	a girl is blowing bubble heavily 
23610	several young girl playing on a trampoline with a blue covering 
23611	a player hit the ball at a cricket game 
23612	a child spin on a merrygoround 
23613	a child wearing a white  red  and black life jacket wa bounced into the air by something big and yellow 
23614	a motorcyclist ride 
23615	a small child climbing on an elevated net
23616	a dog run outside with a yellow toy 
23617	a lean dog run through a wooded area 
23618	a woman concentrate on the device in her hand in the midst of a crowded establishment all lit in purple 
23619	a man in a butcher uniform standing next to two large roll of beef 
23620	a girl playing basketball attempt a shot while another girl aggresively defends her 
23621	a kid hide from the camera in the overgrown bush 
23622	a man  wearing glass  is rock climbing 
23623	many child playing outside in the grass practicing punching 
23624	group of men play musical instrument outdoors 
23625	a windsurfer is making a big splash in the ocean whilst riding a red windsurf 
23626	a girl in a field with a yellow scarf 
23627	the white dog is jumping over a fallen tree 
23628	a wedding photo  the bridesmaid in purple  all of the groomsman jumping 
23629	a man wear a golden mask with his hair spiked and a yellow shirt 
23630	a man in a black hoodie and jean skateboard down a railing 
23631	the group of people is holding a large sheet 
23632	a person in a red striped hooded sweatshirt and jean short walking on a grassy hill 
23633	a dog jumping over a fence 
23634	a little girl in a red shirt hold on to a pole near a street 
23635	child fishing off a bridge
23636	the man is standing on the street surounded by building 
23637	men playing soccer on red sand 
23638	a woman is carrying a child through a small river 
23639	two men  one in white and another in blue 
23640	the girl in the bathing suit is poised in midair next to the blue water 
23641	a boy wearing no shirt and some blue jean is jumping in the air in the wood 
23642	two young woman stand by a red bull car 
23643	a man and a woman holding hand try to go their opposite way 
23644	a black and white dog running between pole 
23645	small boy in blue striped shirt coming down large slide 
23646	a black and brown dog is wearing a blue color and is standing over water 
23647	a little boy wearing a hat and sandal sits on the grass 
23648	the people ride down the road on sled 
23649	a man lie on the ground outside a building 
23650	snow dog howling 
23651	three kid ride their tricycle down the street 
23652	the man in the background is watching the skateboarder complete a jump 
23653	a girl is performing the long jump with arm in the air 
23654	a boy in a blue shirt and white pant stand on the edge of a lake in a town with a church in the background 
23655	a woman in a blue tank top eats a chili cheese hot dog 
23656	a large grey and white water bird 
23657	a boy smile standing in front of a swimming pool 
23658	a woman in a swimsuit is standing on top of the cliff taking a photograph of the man carrying the backpack 
23659	a girl basketball player wearing blue is blocking another girl player wearing yellow 
23660	a man with several red mark on his body is holding a flag while people in the background are cheering
23661	a guy in a costume  a crowd watching him 
23662	one bicyclist run alongside her bike  while another ride up behind 
23663	people are in a ride that drop you from a great height 
23664	little boy wearing gray and blue pajama jumping on furniture with a blue and a orange pillow under him 
23665	three young men wearing hooded sweatshirt  standing at a bench 
23666	the four child are running to a brick building 
23667	two kid in a green tree 
23668	cyclist competing in a race are coming around a bend in the road 
23669	a man and a woman hugging 
23670	a tennis player is carrying a tennis racket 
23671	a man and two woman sit in a darkened room at a table with candle 
23672	a girl toddler is sitting on the grass 
23673	a large group of dog walking in a body of water 
23674	a small girl is doing a handstand while smiling
23675	the surfer is surfing the wave 
23676	dog running with a tennis ball in it mouth
23677	a black dog outside with a green toy 
23678	small  white dog jumping to catch red ring 
23679	three large dog  one brown and the others black  tussle over a red toy in the grass outside a building 
23680	many dog are swimming and playing in a fountain in a public park 
23681	four woman wearing formal gown pose together and smile 
23682	the girl is jumping into the air on the beach 
23683	a man walk a black dog on a very long leash 
23684	three young boy in blue swimming trunk hold hand and jump into an inground pool 
23685	three young adult pose for the camera 
23686	a kid sits on a skiing device in the snow 
23687	the two boy are playing with fake sword 
23688	the little girl in the yellow dress and the pink boot stride down the sidewalk 
23689	a longhaired dog is jumping over horizontal pole 
23690	three young boy are playing soccer on the grass 
23691	two dog play with each other outdoors 
23692	a woman wearing a pink sweater ride a bike with a car behind her 
23693	a man and child in front of a billboard
23694	a white dog standing on fallen leaf 
23695	two men are running side by side in a field 
23696	a boy in a purple shirt is doing a skateboard stunt on a wooden ramp beside a white building 
23697	a dog is swimming in the water with a stick in his mouth 
23698	dog chase each other 
23699	man on the phone in front of a neon sign
23700	a boy pose in karate form and uniform 
23701	a person lay in the grass 
23702	blond girl with missing front tooth  in pool 
23703	a woman is playing volleyball 
23704	a man in a red tshirt  gray hair stand with a black backpack over his shoulder 
23705	a little girl in navy blue is posing on a railing 
23706	a dog run through the wood 
23707	a woman standing on a snowy hill about to ski 
23708	there are three people in jean and shirt standing outside with spray can 
23709	three woman  one old  one young and one a child  walk down a street 
23710	a black poodle walk on the edge of a pool 
23711	a boy holding a ball fall down in front of another boy who ha his arm reaching out while an older man in a green shirt smile and watch 
23712	many people standing and sitting on the street in front of billboard 
23713	a group of people stop to look at something while one take a picture 
23714	a child in red is guided by an adult 
23715	a child laying in the midst of stuffed toy and blanket 
23716	two boy are playing with a soccer ball on a sport field 
23717	a man on a bmx bike jump over a train
23718	three rugby player all trying to catch a ball 
23719	a dog is carrying a red toy in it mouth running in a field of brown grass next to a second dog 
23720	a boy wearing a red shirt is splashing water on a woman s leg 
23721	a man wearing protective clothing is being bitten on the arm by a dog 
23722	little brown and white dog running on the sidewalk 
23723	a woman in a bikini is talking to a regularly dressed man on a bridge
23724	a brown dog running on grass 
23725	several woman  wearing pink  energizer  bunny ear  point to the right 
23726	a black dog is swimming through water 
23727	a dog catching a frisbee in front of a red building 
23728	a child is sliding into a small pool 
23729	two child are hugging each other indoors 
23730	a dog running across a grassy field with a stick in it mouth 
23731	a cowboy stand near two sheep and a dog at a rodeo 
23732	one musician is standing on a musical drum which ha been lifted in the air by a few people at the concert and another musician is playing another musical instrument 
23733	a dog is running in the snow carrying a red frisbee 
23734	a little blonde boy in a winnie the pool tshirt hold up a red plastic bat 
23735	a climber with a yellow backpack walk along the ridge of a snowy mountainside 
23736	african wearing colorful clothing gather behind a fence 
23737	young family eating a snack  shown through a window 
23738	a picture taken from the back of osme kind of large meetinghall 
23739	a child doe a handstand in a pool 
23740	view through an alley of pedestrian passing by 
23741	a child is holding on to the top of a playground slide 
23742	a shirtless young ride his skateboard over step 
23743	two dog wade in water by green vegetation 
23744	a man walk down an empty street next to a market 
23745	a woman facing down is sitting under an advertisment 
23746	a little girl wearing an orange halloween shirt with long blond hair and blue eye crawl through a tunnel 
23747	a group dressed in wintery attire of people on a sidewalk in washington dc
23748	a shirtless man jump in a sunny forest 
23749	a boy in football gear running with the football
23750	a little dog is sitting on a person s bent leg 
23751	a man wearing a black shirt is standing next to a pole in a grassy field 
23752	the man in the red cap is rollerskating on a path in front of the white building 
23753	a little girl climbing a rock wall 
23754	two brown dog running and playing on a beach 
23755	an older woman with big sunglass sits behind a man in a yellow shirt  perhaps at a ball game or other event 
23756	a man doe a wheelie on a motorcycle while a crowd watch 
23757	the three dog are standing in tall grass 
23758	a brown dog bares it fang 
23759	boy fling mud at girl
23760	a large black and brown dog is carrying something in it mouth while walking on grass 
23761	a dog pounce into the water 
23762	a white dog is jumping on the street 
23763	a girl in striped swimsuit is jumping into the ocean 
23764	an asian man balancing a hat on a stick
23765	a skateboarder in the air 
23766	a boy with closed eye  wearing a hat  on a swing 
23767	a child slide down a colorful slide while another child watch
23768	one soccer player run past a fallen teammate towards the ball 
23769	these six people are walking outside a building with column 
23770	a girl is standing on a graffiti covered stone with something in her mouth 
23771	two skateboarder  one wearing a black tshirt and the other wearing a white tshirt  race each other 
23772	people yell with their arm streched at night 
23773	a medium sized black dog jump over a gate
23774	a man and a police officer talk to each other 
23775	a person wearing a helmet begin to ride a skateboard down a street hill 
23776	the person at the beach is wearing a pink wig 
23777	a woman crossing a wooden link wire bridge
23778	a young man with headphone looking at a macintosh laptop computer 
23779	a boy playing with toy in a bedroom 
23780	the horse race on the dirt track while their rider urge them on 
23781	a person is walking in the water with a net 
23782	a female rugby player run with a rugby ball during a match 
23783	three young girl in hat are dancing 
23784	a large brown dog stand in front of a green van in the yard of a house 
23785	two child smile underwater
23786	two woman in dark clothes are taking a picture with a man in a colorful coat 
23787	two guy are on the side of the street playing a guitar and drum 
23788	the dog is looking at the water 
23789	there are two lady embracing and posing shown here 
23790	a young boy wade in the ocean 
23791	a man is walking down the street holding up a picture 
23792	a male skateboarder is captured midair 
23793	two girl participate in a softball game 
23794	two little dog run in the field 
23795	man in suit is using his cellphone while sitting on a train 
23796	one young boy pushing another young boy on a swing 
23797	a girl with long hair wearing an obama tshirt 
23798	the guy are shooting hoop 
23799	the boy in a yellow shirt is walking behind two people and also is passing by a statue 
23800	a crowd of people are at the top of step in front of a white building 
23801	several people are rowing a boat while being cheered on by a person with a drum
23802	two snowboarder are suspended in midair after a jump from a snow slope 
23803	black dog with red collar splashing in water
23804	a child painting a picture 
23805	a dog wearing a red cape run quickly across a field 
23806	a lady ice skate while pulling a child in a buggy 
23807	two child play soccer on green grass 
23808	people with black balloon on them climbing dirt hill
23809	a group of people pulling on a rope
23810	a homeless man is sleeping outside at the top of a staircase 
23811	a girl with goggles on in a pool
23812	a bike rider is doing a stunt on a bicycle over a forest 
23813	a person in the air holding on to a bicycle 
23814	two young child wearing wool cap and mitten covering their mouth while whispering to each other 
23815	a dog  wearing a number 8  running in a race 
23816	a young girl in blue jean and a red shirt is in the green grass 
23817	people transport multiple large trash bag on bicycle and in shopping cart 
23818	a brown and black dog playing in the snow 
23819	a boy is on a bicycle  and there is a girl on the back of it with an umbrella 
23820	a basketball player wearing an orange uniform look backwards 
23821	three dog in a field looking at something in the grass 
23822	a shadowy male looking at the far away hill 
23823	a crowd of people fill up a packed stadium 
23824	a dog play on the beach 
23825	a woman with a strapless top is dancing to guitar music and holding a water bottle 
23826	a person is swimming in crystal clear ocean water while his or her boat is anchored in the background 
23827	a dog jumping over a hurdle 
23828	a lady with red hair is standing in front of a mixing table with another person behind her holding up their hand 
23829	a yellow dog is swimming in the water 
23830	a dog fetching a stick in the water 
23831	a dark skinned man walk by a woman talking on a cellphone 
23832	a little girl is holding a cellphone up to her ear 
23833	man in blue shirt smoking
23834	a golden dog is running through the snow 
23835	three young men sing together while one play the guitar 
23836	two woman in headwraps are hurrying past bus 
23837	a boy in a brown jacket hold a large chunk of snow 
23838	a small brown dog in the grass trying to catch bubble
23839	a person swim in a shallow turquoise sea toward an empty tethered rowboat 
23840	a young boy jump off a rock in the forest
23841	a crowd of people stand on a rural road  a field behind them  a forest in front 
23842	a man read the paper on a wood an iron park bench 
23843	a group of people sing and dance at a concert 
23844	a boy in the wood 
23845	a group of people in protective gear 
23846	two people looking at a rocky view
23847	three boy walk on rock along a river 
23848	a dog is jumping over a stream of water on a sandy beach 
23849	a little boy with a messy face sitting on a colorful blanket 
23850	two fluffy dog jumping to catch a tennis ball 
23851	a woman sitting at a sewing machine look up 
23852	two young woman wearing black head scarf and colorful skirt stand near a red door 
23853	a large group of cheerleader walking in a parade
23854	the boy is on blue bike and is above a fence 
23855	three people walk through a valley towards snowy mountain 
23856	a little black dog is running on the snow 
23857	three child  dressed in heavy coat  glove  and knit cap  cover their mouth 
23858	a person sitting atop a sandy mountainside staring into waterfall 
23859	two peoplw with top of head on grass 
23860	a furry black dog in a backyard carrying a basket in it mouth 
23861	three dog chase and wrestle together on a dirt field 
23862	many people are standing outside on a street filled with litter 
23863	a racing motorcycle rider ha fallen off his bike and is sliding on the ground while another rider is driving behind 
23864	a monk in a red shawl look at the camera
23865	man with dog who is jumping to catch tennis ball 
23866	man riding bike in forest
23867	a boy is attempting to rockclimb a prefabricated wall 
23868	a man wearing a tuxedo and top hat standing outside with some other people to hi right
23869	two black dog are running in the grass  one ha a green ball in his mouth 
23870	the little boy sitting next to the girl is covering his face with his hand 
23871	three black dog on grass 
23872	a biker speed down a dirt path in the wood 
23873	an old man adjusts his camera 
23874	a man standing on one foot with a little girl in front of a cathedral 
23875	woman walking down the street with grocery bag
23876	three dog on a beach looking at a red ball in someone hand
23877	the man with a white beard ride a bike near a bus 
23878	a man in snow clothes and a red helmet is on top of a mountain with other mountain in the background 
23879	a boy in a red shirt and jean short jumping off a swing 
23880	dog walking in the grassy field 
23881	a boy stand in the pool at the bottom of a blue water slide 
23882	a young boy in orange and white swing in a playground at a park 
23883	a girl in a sport outfit balance a soccer ball on her head 
23884	a child climb up the inside of a red tube in a play structure 
23885	a man in a hardhat stand beside a ladder 
23886	a man with multicolored hair wearing a weird outfit
23887	two woman sunbathe by the water 
23888	two people raise up their arm in a rollercoaster ride
23889	several young girl stand in a rural road 
23890	a man is climbing up a rock while another man watch him from behind 
23891	a small girl wearing pink dance on the sidewalk 
23892	a young kid wear an eye patch and a bright colored bandanna 
23893	a child jump off a swing and fly toward a landing pad 
23894	a beige dog run behind a white dog holding a yellow toy 
23895	one rugby player attempt to take down another 
23896	young woman in dress standing on a stage
23897	two woman  one carrying a purse and paper  are standing on a sidewalk 
23898	there are two people inside  and two men outside  a cafe  with a tv on in the background 
23899	two dog playing on a rocky beach 
23900	a group of people gather with only their leg showing and one of them is holding a cigarette 
23901	the white and brownspotted dog is walking through shallow water 
23902	a dog with a baseball in his mouth 
23903	two east asian woman sitting outdoors behind a cowlike animal
23904	a person climbing up a snowy mountain 
23905	a lone football player wearing a red and white jersay holding a football 
23906	the fellow with the chainsaw and brown coverall is carving a statue with a chainsaw 
23907	the tan dog is chasing a ball 
23908	a little girl smelling a flower
23909	three people enjoying the view in a modern building 
23910	man walking through large puddle of water 
23911	a man and woman walk up a sidewalk away from the water 
23912	the brown dog is standing on the beach a the wave lap up around it foot 
23913	dog sits on hurdle 
23914	three child stand in front of their home 
23915	a man performing a trick on a bicycle by standing on the pedal while the bike is upright 
23916	the cat are lazily laying in the field of dry grass 
23917	a young man is doing a ski jump with a purple board 
23918	a dog is running with a yellow tennis ball and wearing a red harness 
23919	a football coach speaks with a player 
23920	two young kid looking into the same camera
23921	a woman with a short  white skirt  black boot and a red bag walk away 
23922	this brown and white dog is chasing a soccer ball 
23923	two black and white dog looking at a black and white kitten who is sitting on top of a tank with hose on it 
23924	two people with balloon climb a hill 
23925	a dog wearing a green sweater and fanny pack walk on a snowcovered field 
23926	a dog jump high in the snow 
23927	a white jeep in the dirt in the wood 
23928	a man wearing a black hat and coat make a face with a crowd behind him 
23929	two little girl ride an inflatable dinghy down a purple water slide 
23930	two dog playing together on the grass 
23931	the man is wearing a red outfit and red mask stand in front of another man in urban camouflage 
23932	two cocker spaniel running through the grass 
23933	a girl in a pink bicycle ride in front of a restaraunt 
23934	a dog with it mouth wide open to catch a ball in the sand 
23935	the child is riding a vehicle along a gated path next to a beach area 
23936	a man performs a skateboard trick 
23937	a soccer player pull his short up 
23938	a man  woman  and two young boy are sitting on a bench with flower in the background 
23939	three people on ski are standing behind a no skiing sign 
23940	a black dog wearing a red collar is standing in a stream with it tongue out 
23941	a little league player point to another player 
23942	a man stand on a sailboat in the water 
23943	two people are in a sky carriage 
23944	there is a boy wearing jean and a baseball cap jumping in the air 
23945	a greyhound in a race wearing a metal muzzle 
23946	a person on a bike is riding through a rocky trail in the wood 
23947	a boy riding a skateboard on a skateboarding ramp
23948	person s foot resting on fluffy black dog 
23949	two boy are running around a field 
23950	a man in jean is using a yard work tool just above some pavement step 
23951	a man wearing glass sits with a drink at a table whilst reading the newspaper 
23952	a brown and white dog is leaping over a log in a field while another dog follows behind it 
23953	a man standing on the street looking at a woman across on the road 
23954	three clown in bright  multicolored costume 
23955	two team player wearing green shirt running along the court 
23956	a man ride a dirt bike over a hill 
23957	the young athlete completes the swimming portion of the race 
23958	a man carry a baby on his shoulder in the rain in a big asian city 
23959	surfer partially visible through crashing wave  shore in background 
23960	a little kid in blue is sledding down a snowy hill 
23961	a dog is jumping over a hurdle 
23962	child watch a bicyclist perform on a tightrope 
23963	a big brown dog swim towards the camera 
23964	a snowboarder jump high in the air over a snowy hill 
23965	a white dog look at a black puppy in the snow 
23966	a mountain climber with a yellow backpack is walking on the side of a mountain 
23967	the flag of a country is being held in a crowd
23968	a girl is jumping on a trampoline with her arm in the air  while a boy in a blue shirt is bouncing on his stomach 
23969	a boy is diving through the air into a swimming pool 
23970	a dog is jumping up on hind leg with it mouth open 
23971	a woman looking up towards a wide ring  she is holding over her head  a drink in her other hand 
23972	two smaller dog and one larger dog with a puffy white tail are playing in a field 
23973	a young girl doe a handstand on a bed with blue sheet 
23974	a small black dog biting a lady two finger on a beige couch
23975	blonde girl wearing green dress standing
23976	a girl in a baseball uniform getting ready to throw the ball at a game 
23977	a man is helping a girl step down from a colorful truck whilst a woman and three child watch 
23978	a man wearing a business suit hold up a drink a the other laugh 
23979	a woman and man are posing on a beach in front of a landmark 
23980	a woman holding a video camera 
23981	a white poodle and 2 black poodle are playing on the grass 
23982	the laughing boy hold a water bottle while a lady with wet pant walk nearby 
23983	a baby with an airplane on his shirt sits in a high chair 
23984	a black dog nursing black and white puppy 
23985	two group are canoeing on a river overlooking a mountain 
23986	a boy is flying down a snow covered slope on his sled 
23987	a baby play with a young boy face 
23988	a man dressed in camouflage riding a motorbike
23989	two men talk and laugh 
23990	three teen boy playing basketball outside
23991	two young child stand on the rock near the edge of the water 
23992	a skateboarder on a ramp 
23993	a white dog is running in a pond near the shore 
23994	a dog is jumping through the snow over some weed 
23995	a man is standing on top of a rock or mountain watching the sunset 
23996	an african man in blue jean is holding the hand of two boy that are eating ice cream 
23997	a man is trying to photograph a rocky outcropping 
23998	a large man and large woman sitting on a park bench with a bottle of soda between them 
23999	girl posing with rainbow in the sky 
24000	trio of skydiver holding hand in sky 
24001	a dirty dog run through the wood 
24002	a white fluffy dog is jumping and catching a toy 
24003	a child pull another in a small wagon 
24004	three brown dog are jumping up at the woman wearing blue 
24005	a person ride a sled over several people 
24006	spectator are taking picture of a blue rally car that is driving around a bend in the track 
24007	man standing on a dirt hill next to a black jeep 
24008	a man and woman sit on the rocky overlook 
24009	a man in a number ten jersey kick a soccer ball while another team member watch 
24010	a snowboarder in green is balancing on a wodden bench 
24011	a man sitting on the floor cry while another man is trying to comfort him 
24012	a black dog tug on a rope 
24013	a girl is playing a red flute while another girl hold a pink guitar 
24014	a man wearing an orange u miami tshirt playing tennis
24015	the player wearing the black and white jersey jump for the ball amidst two player from the other team a his two teammate run to help him 
24016	the man sat on the dirt bike a the sun set in the distance 
24017	a boy is outside holding a red and blue soccer ball 
24018	boy playing baseball  car parked in the background 
24019	person riding bicycle down dirt hill in wooded area
24020	a dog is running past a farm animal nearby a fence diving tall and short grass 
24021	snowboarder holding onto board while in midair 
24022	a baseball player in a yankee uniform is holding a bat in one hand
24023	a man walking a large black horse 
24024	a woman in a pink bathing suit hold a badminton racket while another lady look on 
24025	two dog are running through snow  away from the camera 
24026	a man in orange short and knee pad is in a blurry picture 
24027	uniformed schoolgirl are walking together on the street 
24028	a brown dog in the snow ha something hot pink in it mouth 
24029	four dog playing in the snow 
24030	a man with sunglass on his head is looking at the woman with a white hat and red scarf next to him whilst standing in front of a red sport car 
24031	a girl smile while riding on the back of a cart in a grocery store 
24032	a small baby in winter clothing is being held upright to take a picture 
24033	a young boy is pushing an adult male in a wheelchair 
24034	a woman skiing down a snowy mountain with a brown dog on a lesh running with her
24035	a skateboarder sliding down a stair rail 
24036	girl in matching outfit  one holding inflatable toy  outside of odeon building 
24037	three people  one wearing a tshirt and baseball cap  are seated on a bus 
24038	several people take picture with tripod in the snow 
24039	a jockey in yellow and a jockey in blue are racing their horse down a grassy raceway 
24040	three dog play in the grass near the playground equipment 
24041	someone is riding a blue wave 
24042	two dog play in snow with red leash 
24043	the little boy fell face first into the grass while playing football 
24044	a young boy jumping and a young girl seating in an inflatable pool 
24045	girl in uniform playing flute with marching band 
24046	three men and two woman stand facing the ocean from the shore on a sunny day 
24047	many motorcyclist ride along the street 
24048	a girl in a crowd laugh and climb on something 
24049	a pair work with the camera 
24050	guy in red and white football uniform
24051	a woman in a headscarf in the desert
24052	a dog catch a frisbee a it jump on the grass 
24053	the four people sit on a pile of rock 
24054	a bluerobed and hooded figure is walking past occupied table in an upperclass room 
24055	one boy is running and pushing another little boy on a toy with wheel on it 
24056	two people jumpinjg over a large wave at the beach
24057	a brown and white dog run through the green grass 
24058	a female wearing a baseball uniform swinging a bat 
24059	two baby look up while they are playing in a playpen with a lot of ball 
24060	a black dog with a blue collar is running in the snow 
24061	a little boy jump onto a bed 
24062	a boy in a tshirt and short is holding a snowball and facing a snowy mountain 
24063	one baseball player running toward a base with another waiting on the base
24064	two dog standing in a lake 
24065	asian boy put his head inside a large bubble 
24066	a man in a yellow shirt wearing multicolored plastic jewelry 
24067	a boy with a basketball  leaping for the goal 
24068	a black and white dog look at the camera with an open mouth 
24069	the boy is playing basketball 
24070	five child are standing in front of a wooden hut 
24071	a man wearing a blue helmet is rock climbing 
24072	a black dog with a red collar is running on the snow 
24073	two girl hold up their younger sister 
24074	a woman in capri jean crouch on the edge of a fountain with her left foot kicked out to touch the falling water 
24075	a little boy wearing a raincoat play with a mop 
24076	a boy in short stand  arm outstreched  on a roadway 
24077	a snowboarder is in midair doing a trick 
24078	a black dog and a brown dog run along a dirt path 
24079	smiling girl with white shirt with boy standing behind making rabbit ear behind her head 
24080	a man in a brown jacket is running on a sandy bay towards a dog that is in turn running towards him 
24081	two little kid play on a pebble covered beach 
24082	a female runner in a race
24083	several people standing in front of a pile of snow in front of a house  with one person shoveling 
24084	a man in a black leather jacket is sleeping in a subway car 
24085	two older men in front of a bus 
24086	a woman wear a black hat with an american flag on it and look at the camera scarily 
24087	a skateboarder grinding a lip 
24088	a person is flying in the air with a building to the left of him 
24089	a brown dog wearing a chain around it neck is shaking it head 
24090	a man is smiling with one hand on his forehead at a crowded bar 
24091	a man on a soccer field  in a uniform  about to kick a soccer ball 
24092	a person above their surfboard on the water 
24093	two men playing soccer  one on the ground holding the ball 
24094	the black puppy is being touched by a foot 
24095	a skeleton sits on the bush 
24096	a brown dog and a black dog on a dirt path 
24097	two blonde girl are sitting next to a statue
24098	a skateboarder wearing blue flannel is skating on a rock at a skate park 
24099	a brown dog run on the grass 
24100	a brown dog run with a toy in his mouth through long green grass 
24101	a black and gray dog
24102	four people are meeting around table in a modern decorated room 
24103	a man with glass and a woman wearing a hat that look like a dog are outside in the snow 
24104	two dog walk in a body of water 
24105	a brownhaired boy in swim trunk is flipped backwards over a swimming pool 
24106	the man take a leap into the water with his shoe on 
24107	the wall are covered in gold and pattern 
24108	a group of girl sitting in a circle
24109	hockey player around a goalie 
24110	a tan dog is on top of and growling at a doberman wearing a collar in the grass 
24111	a toddler in a pink coat is laying front down on a red slide 
24112	camera look down inside green tube a child slide away 
24113	an old man  with a grey beard  riding his bike
24114	st bernard dog running in the snowy field 
24115	a yellow dog play with a soccer ball 
24116	a large black dog is playing in a grassy yard 
24117	a little boy in a striped shirt ha his hand on his head 
24118	the climber in red is leading climber up a long rock face 
24119	several people stand around an elaborate image of the crucified jesus on a city street 
24120	two teenager are playing wrestling game in the park 
24121	a person attached to a harness is being dragged through the water 
24122	a dog playing with a blue ball in a small pool of water 
24123	man doing stunt on bike in a skate park 
24124	a man and woman sit in a brightly lit stage set 
24125	a young child play with a slinky in the family room while an older sibling watch 
24126	a person in a green feathered costume is bending down in front of a woman with painted breast 
24127	two girl are walking down a dirt road in a park 
24128	the old man with the white beard is walking down the street 
24129	there is a little child sitting in a little chair playing with a toy 
24130	the person in black smoked while the woman in brown sat on the step 
24131	a man in a black hoodie holding a small sign 
24132	a vendor sell inflatable toy and stuffed animal on the sidewalk 
24133	a basketball
24134	a man in sunglass and a hat is seen among a crowd 
24135	three boy sit down and make gesture with their hand 
24136	two boxer with white glove are fighting 
24137	a man in a grey shirt is on a boat with a flag 
24138	a little girl in a pink and white flowered dress and blue sweater swinging 
24139	a black and white dog jumping through the snow
24140	a boy smile and swim in blue water 
24141	three people looking toward the mountain 
24142	two dog jump for a ball on a green field 
24143	a boy hold a fishing net 
24144	a child in a lake 
24145	the man in the black jacket is holding the little girl s hand a they pas a yellow sign 
24146	a rock climber lean out from a crag against a deep blue sky 
24147	a boy jumping on a water jumphouse
24148	a dog and cat are snuggling up during a nap 
24149	a flock of bird disturbed and in flight in front of a wall that ha a mural of three woman and a man 
24150	a small boy in blue crawl along a window sill 
24151	a dog lying on a blanket at the end of a small boat 
24152	a man juggle at the beach 
24153	a man is looking at the camera posing for a photo with his arm around a woman who is looking away 
24154	a girl wearing a white sweatshirt and jean short ha a big smile on her face a she walk along 
24155	a single man sitting at a round table reading outside of a shop
24156	a woman showing a small dog to an infant
24157	a man climbing an icy glacier with the assistance of a pick 
24158	a little boy prestends to punch another kid in the temple while they are eating lunch 
24159	a wrestler is jumping off of the ring to hit his competitor 
24160	two dog playing in the grass with an adult nearby 
24161	a snowboarder is jumping in the air over a snow slope 
24162	a golden retriever running on short grass wearing an orange outfit 
24163	two men are standing in a recording studio 
24164	two girl are standing in front of a car that is advertising red bull 
24165	two team stand in a line on a field 
24166	a boy try to put a screen on a window 
24167	a small boy wearing blue balance a he walk on a large rock 
24168	a picture of somebody under blue water 
24169	woman play lacrosse 
24170	two hiker are climbing through a rocky and snowy passage in the mountain 
24171	row of plastic horse that form a childrens ride with one child riding 
24172	woman standing  with a child on a swing 
24173	a man running across the grass towards a woman 
24174	two oklahoma sooner football player talk on the sideline 
